phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D009765,species,167,Treponema succinifaciens,Bacteria,1,14.5135,14.5135,
D009765,species,197,Campylobacter jejuni,Bacteria,1,0.20395,0.20395,
D009765,species,199,Campylobacter concisus,Bacteria,1,0.0015,0.0015,
D009765,species,287,Pseudomonas aeruginosa,Bacteria,1,0.70944,0.70944,
D009765,species,306,Pseudomonas sp.,Bacteria,3,0.014573333,0.01518,0.001504704
D009765,species,470,Acinetobacter baumannii,Bacteria,1,0.00636,0.00636,
D009765,species,545,Citrobacter koseri,Bacteria,2,0.09207,0.09207,0.127646916
D009765,species,546,Citrobacter freundii,Bacteria,29,0.058068966,0.01406,0.111605756
D009765,species,548,[Enterobacter] aerogenes,Bacteria,9,0.07714,0.02907,0.097856659
D009765,species,550,Enterobacter cloacae,Bacteria,52,0.304961731,0.025705,0.714401799
D009765,species,562,Escherichia coli,Bacteria,394,2.925283426,0.61487,5.864104913
D009765,species,564,Escherichia fergusonii,Bacteria,1,0.79052,0.79052,
D009765,species,569,Hafnia alvei,Bacteria,1,0.00182,0.00182,
D009765,species,571,Klebsiella oxytoca,Bacteria,9,0.041776667,0.00721,0.069565344
D009765,species,573,Klebsiella pneumoniae,Bacteria,89,0.662531461,0.11385,1.728710697
D009765,species,576,Klebsiella sp.,Bacteria,10,0.011119,0.01042,0.009215074
D009765,species,582,Morganella morganii,Bacteria,5,0.113004,0.11108,0.017378465
D009765,species,584,Proteus mirabilis,Bacteria,5,0.012344,0.01032,0.007988609
D009765,species,587,Providencia rettgeri,Bacteria,1,0.01051,0.01051,
D009765,species,589,Providencia sp.,Bacteria,1,0.03217,0.03217,
D009765,species,599,Salmonella sp.,Bacteria,1,0.00028,0.00028,
D009765,species,623,Shigella flexneri,Bacteria,6,0.029853333,0.025735,0.025056326
D009765,species,624,Shigella sonnei,Bacteria,19,0.087645789,0.05734,0.121015875
D009765,species,703,Plesiomonas shigelloides,Bacteria,3,0.058673333,0.06491,0.050733323
D009765,species,726,Haemophilus haemolyticus,Bacteria,4,0.0019975,0.00126,0.001890985
D009765,species,727,Haemophilus influenzae,Bacteria,2,0.00141,0.00141,0.001315219
D009765,species,729,Haemophilus parainfluenzae,Bacteria,193,0.228017202,0.0623,0.455333103
D009765,species,732,Aggregatibacter aphrophilus,Bacteria,1,0.00367,0.00367,
D009765,species,735,Haemophilus parahaemolyticus,Bacteria,1,0.01563,0.01563,
D009765,species,739,Aggregatibacter segnis,Bacteria,3,0.00278,0.00155,0.002147766
D009765,species,817,Bacteroides fragilis,Bacteria,342,0.862422281,0.27442,2.025513652
D009765,species,818,Bacteroides thetaiotaomicron,Bacteria,521,0.913739251,0.27873,1.857097167
D009765,species,820,Bacteroides uniformis,Bacteria,774,3.358542804,1.249475,5.015133707
D009765,species,821,Bacteroides vulgatus,Bacteria,720,3.728980722,1.445165,5.863875516
D009765,species,823,Parabacteroides distasonis,Bacteria,582,0.831782096,0.232735,1.460553052
D009765,species,827,Campylobacter ureolyticus,Bacteria,3,0.00908,0.00213,0.012710425
D009765,species,847,Oxalobacter formigenes,Bacteria,88,0.026277614,0.014085,0.042978196
D009765,species,849,Fusobacterium gonidiaformans,Bacteria,3,0.862793333,1.13956,0.65067507
D009765,species,850,Fusobacterium mortiferum,Bacteria,32,2.746685313,0.62851,5.01880111
D009765,species,851,Fusobacterium nucleatum,Bacteria,17,0.01962,0.0048,0.060586727
D009765,species,853,Faecalibacterium prausnitzii,Bacteria,774,6.779135607,5.13808,6.33852138
D009765,species,856,Fusobacterium varium,Bacteria,23,0.108996957,0.03898,0.203897994
D009765,species,860,Fusobacterium periodonticum,Bacteria,3,0.036336667,0.04509,0.032078568
D009765,species,861,Fusobacterium ulcerans,Bacteria,26,0.547080385,0.05265,1.201188944
D009765,species,876,Desulfovibrio desulfuricans,Bacteria,118,0.038167119,0.01366,0.065393323
D009765,species,901,Desulfovibrio piger,Bacteria,203,0.326322069,0.20184,0.35434881
D009765,species,905,Acidaminococcus fermentans,Bacteria,26,0.500625,0.094125,1.43812339
D009765,species,907,Megasphaera elsdenii,Bacteria,89,0.656021461,0.3234,0.780703601
D009765,species,1244,Leuconostoc gelidum,Bacteria,1,0.01305,0.01305,
D009765,species,1245,Leuconostoc mesenteroides,Bacteria,25,0.0444268,0.02155,0.050598655
D009765,species,1246,Leuconostoc lactis,Bacteria,9,0.044928889,0.00665,0.105209368
D009765,species,1252,Leuconostoc carnosum,Bacteria,2,0.00487,0.00487,0.001668772
D009765,species,1254,Pediococcus acidilactici,Bacteria,4,0.05939,0.007385,0.107917182
D009765,species,1255,Pediococcus pentosaceus,Bacteria,2,0.66139,0.66139,0.298526341
D009765,species,1260,Finegoldia magna,Bacteria,17,0.009152941,0.0094,0.005483051
D009765,species,1261,Peptostreptococcus anaerobius,Bacteria,7,0.013731429,0.00664,0.017019573
D009765,species,1262,Peptostreptococcus sp.,Bacteria,22,0.003130909,0.001775,0.004742986
D009765,species,1264,Ruminococcus albus,Bacteria,103,0.006804369,0.00385,0.008776307
D009765,species,1265,Ruminococcus flavefaciens,Bacteria,45,0.012486889,0.00485,0.01929142
D009765,species,1280,Staphylococcus aureus,Bacteria,4,0.0185475,0.010875,0.020381235
D009765,species,1288,Staphylococcus xylosus,Bacteria,4,0.060335,0.06288,0.007920461
D009765,species,1302,Streptococcus gordonii,Bacteria,31,0.01213129,0.00512,0.021972598
D009765,species,1304,Streptococcus salivarius,Bacteria,406,0.281400296,0.093355,0.582560535
D009765,species,1305,Streptococcus sanguinis,Bacteria,67,0.016237313,0.00545,0.036606617
D009765,species,1308,Streptococcus thermophilus,Bacteria,147,0.959743605,0.07655,1.743822226
D009765,species,1309,Streptococcus mutans,Bacteria,20,0.050812,0.006135,0.164055069
D009765,species,1310,Streptococcus sobrinus,Bacteria,7,0.013181429,0.00205,0.029842371
D009765,species,1311,Streptococcus agalactiae,Bacteria,4,0.0102225,0.011045,0.007073714
D009765,species,1318,Streptococcus parasanguinis,Bacteria,323,0.183687895,0.0338,0.54972296
D009765,species,1322,Blautia hansenii,Bacteria,11,0.047165455,0.00305,0.10495252
D009765,species,1328,Streptococcus anginosus,Bacteria,51,0.06136098,0.00749,0.176727364
D009765,species,1334,Streptococcus dysgalactiae,Bacteria,1,0.00783,0.00783,
D009765,species,1338,Streptococcus intermedius,Bacteria,7,0.00251,0.00151,0.002596883
D009765,species,1343,Streptococcus vestibularis,Bacteria,65,0.235038462,0.01392,1.249037118
D009765,species,1351,Enterococcus faecalis,Bacteria,30,0.107506667,0.060615,0.149817026
D009765,species,1352,Enterococcus faecium,Bacteria,28,0.134006071,0.05862,0.220966549
D009765,species,1354,Enterococcus hirae,Bacteria,2,1.66569,1.66569,2.224218522
D009765,species,1358,Lactococcus lactis,Bacteria,59,0.05377678,0.01248,0.124282655
D009765,species,1363,Lactococcus garvieae,Bacteria,16,0.072306875,0.02637,0.110817851
D009765,species,1366,Lactococcus raffinolactis,Bacteria,11,0.012737273,0.00958,0.010937431
D009765,species,1377,Aerococcus viridans,Bacteria,1,0.01129,0.01129,
D009765,species,1379,Gemella haemolysans,Bacteria,13,0.006156154,0.00218,0.012252482
D009765,species,1382,Atopobium parvulum,Bacteria,23,0.004696957,0.00459,0.003765152
D009765,species,1383,Atopobium rimae,Bacteria,4,0.01161,0.00512,0.015054129
D009765,species,1490,Paraclostridium bifermentans,Bacteria,1,0.00123,0.00123,
D009765,species,1496,Clostridioides difficile,Bacteria,3,0.05251,0.00091,0.089841881
D009765,species,1502,Clostridium perfringens,Bacteria,36,0.093012222,0.012215,0.277931275
D009765,species,1505,Paeniclostridium sordellii,Bacteria,1,0.00576,0.00576,
D009765,species,1512,[Clostridium] symbiosum,Bacteria,99,0.047152525,0.01177,0.08654924
D009765,species,1522,[Clostridium] innocuum,Bacteria,68,0.009802647,0.004095,0.022490365
D009765,species,1531,[Clostridium] clostridioforme,Bacteria,57,0.139151053,0.02034,0.291007368
D009765,species,1535,[Clostridium] leptum,Bacteria,335,0.095995493,0.03975,0.184729208
D009765,species,1547,Erysipelatoclostridium ramosum,Bacteria,39,0.054050513,0.01326,0.132331227
D009765,species,1579,Lactobacillus acidophilus,Bacteria,2,0.016325,0.016325,0.016609938
D009765,species,1580,Lactobacillus brevis,Bacteria,1,1.40145,1.40145,
D009765,species,1581,Lactobacillus buchneri,Bacteria,1,0.0002,0.0002,
D009765,species,1582,Lactobacillus casei,Bacteria,17,0.187002941,0.04976,0.204479138
D009765,species,1583,Weissella confusa,Bacteria,22,0.555604091,0.004715,1.526324588
D009765,species,1584,Lactobacillus delbrueckii,Bacteria,55,1.700912909,0.61458,2.676524837
D009765,species,1590,Lactobacillus plantarum,Bacteria,7,0.025824286,0.00556,0.049940581
D009765,species,1596,Lactobacillus gasseri,Bacteria,11,0.010643636,0.00472,0.015048946
D009765,species,1598,Lactobacillus reuteri,Bacteria,5,0.05379,0.04716,0.039748269
D009765,species,1599,Lactobacillus sakei,Bacteria,22,0.038983182,0.008525,0.054027164
D009765,species,1604,Lactobacillus amylovorus,Bacteria,1,0.17563,0.17563,
D009765,species,1605,Lactobacillus animalis,Bacteria,13,0.256672308,0.18341,0.23886815
D009765,species,1613,Lactobacillus fermentum,Bacteria,8,0.0045025,0.002435,0.006572305
D009765,species,1622,Lactobacillus murinus,Bacteria,4,0.0209025,0.021505,0.009193078
D009765,species,1623,Lactobacillus ruminis,Bacteria,146,1.867973767,0.650815,3.077337889
D009765,species,1624,Lactobacillus salivarius,Bacteria,29,0.229675172,0.02566,0.791047303
D009765,species,1625,Lactobacillus sanfranciscensis,Bacteria,5,0.076738,0.00489,0.121210689
D009765,species,1633,Lactobacillus vaginalis,Bacteria,6,0.005891667,0.00231,0.009088167
D009765,species,1655,Actinomyces naeslundii,Bacteria,1,0.0035,0.0035,
D009765,species,1656,Actinomyces viscosus,Bacteria,5,0.0046,0.00051,0.008922923
D009765,species,1660,Actinomyces odontolyticus,Bacteria,30,0.008719,0.004325,0.009949345
D009765,species,1680,Bifidobacterium adolescentis,Bacteria,530,5.436789849,2.43961,7.379168866
D009765,species,1681,Bifidobacterium bifidum,Bacteria,82,0.775955244,0.505635,1.151626782
D009765,species,1683,Bifidobacterium angulatum,Bacteria,81,2.250815309,2.15146,1.503845971
D009765,species,1685,Bifidobacterium breve,Bacteria,10,0.088256,0.054055,0.077878672
D009765,species,1686,Bifidobacterium catenulatum,Bacteria,81,0.060215309,0.0184,0.182386334
D009765,species,1689,Bifidobacterium dentium,Bacteria,28,0.016931071,0.01241,0.01562028
D009765,species,1735,Holdemanella biformis,Bacteria,448,1.274529129,0.76741,2.146145121
D009765,species,1736,Eubacterium limosum,Bacteria,17,0.015549412,0.0087,0.017991717
D009765,species,1744,Propionibacterium freudenreichii,Bacteria,6,0.054928333,0.066275,0.030739478
D009765,species,1750,Propionibacterium propionicum,Bacteria,2,0.00271,0.00271,0.001173797
D009765,species,2039,Tropheryma whipplei,Bacteria,2,0.002255,0.002255,0.000586899
D009765,species,2047,Rothia dentocariosa,Bacteria,2,0.00086,0.00086,0.000141421
D009765,species,2173,Methanobrevibacter smithii,Archaea,227,0.904944053,0.32795,1.342246334
D009765,species,2317,Methanosphaera stadtmanae,Archaea,36,0.125256667,0.0506,0.167573554
D009765,species,2702,Gardnerella vaginalis,Bacteria,11,0.032502727,0.01008,0.071324392
D009765,species,2751,Carnobacterium maltaromaticum,Bacteria,1,0.01304,0.01304,
D009765,species,28025,Bifidobacterium animalis,Bacteria,39,0.184316667,0.09443,0.232670572
D009765,species,28026,Bifidobacterium pseudocatenulatum,Bacteria,187,0.634273476,0.23362,1.457280343
D009765,species,28037,Streptococcus mitis,Bacteria,10,0.003691,0.001995,0.005297227
D009765,species,28038,Lactobacillus curvatus,Bacteria,6,0.051008333,0.023655,0.064341166
D009765,species,28090,Acinetobacter lwoffii,Bacteria,1,1.90173,1.90173,
D009765,species,28111,Bacteroides eggerthii,Bacteria,259,1.499298263,0.42363,4.147830242
D009765,species,28116,Bacteroides ovatus,Bacteria,565,1.111736584,0.27778,2.134225695
D009765,species,28117,Alistipes putredinis,Bacteria,645,2.593498078,1.64543,2.974421735
D009765,species,28118,Odoribacter splanchnicus,Bacteria,228,0.746760439,0.61822,0.555732125
D009765,species,28121,Butyrivibrio sp.,Bacteria,2,0.013555,0.013555,0.011886465
D009765,species,28123,Porphyromonas asaccharolytica,Bacteria,16,0.00822875,0.003675,0.010052942
D009765,species,28125,Prevotella bivia,Bacteria,27,0.006867037,0.00385,0.008688468
D009765,species,28126,Prevotella buccae,Bacteria,5,0.004204,0.00279,0.004330379
D009765,species,28127,Prevotella buccalis,Bacteria,10,0.009217,0.00542,0.011306856
D009765,species,28130,Prevotella disiens,Bacteria,8,0.01104875,0.0033,0.020646255
D009765,species,28131,Prevotella intermedia,Bacteria,1,0.00137,0.00137,
D009765,species,28141,Cronobacter sakazakii,Bacteria,5,0.45714,0.00693,0.980504936
D009765,species,28197,Arcobacter butzleri,Bacteria,1,0.00153,0.00153,
D009765,species,28901,Salmonella enterica,Bacteria,1,0.00092,0.00092,
D009765,species,29347,[Clostridium] scindens,Bacteria,45,0.008817778,0.00184,0.012133001
D009765,species,29348,[Clostridium] spiroforme,Bacteria,4,0.4085025,0.262515,0.383509905
D009765,species,29361,Tyzzerella nexilis,Bacteria,85,1.230776706,0.07508,3.017111914
D009765,species,29391,Gemella morbillorum,Bacteria,12,0.008578333,0.006485,0.007269169
D009765,species,29466,Veillonella parvula,Bacteria,225,0.102370311,0.02997,0.232658305
D009765,species,31971,[Eubacterium] dolichum,Bacteria,49,0.082643265,0.02187,0.171802842
D009765,species,31973,Eggerthia catenaformis,Bacteria,2,0.0019,0.0019,0.001612203
D009765,species,33031,Peptoniphilus lacrimalis,Bacteria,8,0.01208,0.01027,0.007142245
D009765,species,33033,Parvimonas micra,Bacteria,10,0.125066,0.020465,0.254137106
D009765,species,33035,Blautia producta,Bacteria,14,0.011784286,0.007445,0.011512694
D009765,species,33037,Anaerococcus vaginalis,Bacteria,8,0.00809875,0.006325,0.008340592
D009765,species,33038,[Ruminococcus] gnavus,Bacteria,251,0.905980717,0.10097,2.145242967
D009765,species,33039,[Ruminococcus] torques,Bacteria,747,1.768379505,1.12235,1.948738286
D009765,species,33043,Coprococcus eutactus,Bacteria,77,1.27107961,0.74928,2.384491708
D009765,species,33959,Lactobacillus johnsonii,Bacteria,2,0.07198,0.07198,0.086733718
D009765,species,33964,Leuconostoc citreum,Bacteria,5,0.007704,0.00249,0.009252253
D009765,species,33968,Leuconostoc pseudomesenteroides,Bacteria,7,0.008354286,0.00399,0.010904644
D009765,species,34028,Comamonas sp.,Bacteria,1,0.00418,0.00418,
D009765,species,35517,[Eubacterium] brachy,Bacteria,11,0.003050909,0.00177,0.002616553
D009765,species,35833,Bilophila wadsworthia,Bacteria,212,0.051385472,0.02676,0.072266903
D009765,species,36773,Burkholderia sp.,Bacteria,2,0.0179,0.0179,0.006788225
D009765,species,36834,Clostridium celatum,Bacteria,10,0.050219,0.02235,0.06350143
D009765,species,36841,Terrisporobacter glycolicus,Bacteria,1,0.00058,0.00058,
D009765,species,37734,Enterococcus casseliflavus,Bacteria,3,0.277896667,0.20769,0.312815688
D009765,species,39483,Faecalitalea cylindroides,Bacteria,60,0.217453667,0.09218,0.341073736
D009765,species,39485,[Eubacterium] eligens,Bacteria,541,1.859556063,0.63374,2.711344929
D009765,species,39486,Dorea formicigenerans,Bacteria,714,0.593566275,0.398515,0.565216806
D009765,species,39488,[Eubacterium] hallii,Bacteria,731,1.158374952,0.54646,2.100591337
D009765,species,39490,Eubacterium ramulus,Bacteria,556,0.400352338,0.15328,0.630853814
D009765,species,39491,[Eubacterium] rectale,Bacteria,781,9.962007823,6.36019,10.41784118
D009765,species,39492,[Eubacterium] siraeum,Bacteria,380,1.312053763,0.48244,2.304087166
D009765,species,39496,Eubacterium ventriosum,Bacteria,462,0.480781926,0.206305,0.900235565
D009765,species,39777,Veillonella atypica,Bacteria,135,0.041557407,0.01885,0.064849696
D009765,species,39778,Veillonella dispar,Bacteria,100,0.0249694,0.00933,0.044536506
D009765,species,40518,Ruminococcus bromii,Bacteria,661,4.642142648,3.05796,5.717832127
D009765,species,40519,Ruminococcus callidus,Bacteria,156,0.172583782,0.08289,0.249150887
D009765,species,40520,Blautia obeum,Bacteria,754,0.767424032,0.43668,0.870900467
D009765,species,40545,Sutterella wadsworthensis,Bacteria,272,0.617378015,0.171855,0.914213333
D009765,species,41114,Actinobacillus sp.,Bacteria,6,0.007396667,0.006785,0.00293185
D009765,species,43675,Rothia mucilaginosa,Bacteria,52,0.011258462,0.00423,0.015252482
D009765,species,44008,Enterococcus cecorum,Bacteria,1,0.00173,0.00173,
D009765,species,45634,Streptococcus cristatus,Bacteria,11,0.006488182,0.00485,0.007278261
D009765,species,45851,Butyrivibrio crossotus,Bacteria,161,10.46486335,2.6033,15.25598647
D009765,species,46124,Granulicatella adiacens,Bacteria,39,0.012120769,0.00431,0.022319587
D009765,species,46125,Abiotrophia defectiva,Bacteria,16,0.0035625,0.003245,0.002384865
D009765,species,46228,Ruminococcus lactaris,Bacteria,494,0.778112713,0.48093,0.977766238
D009765,species,46503,Parabacteroides merdae,Bacteria,534,1.332191498,0.7988,1.569171388
D009765,species,46506,Bacteroides stercoris,Bacteria,383,3.952917337,0.6346,7.829265628
D009765,species,47678,Bacteroides caccae,Bacteria,392,1.614008214,0.943285,2.27069336
D009765,species,47715,Lactobacillus rhamnosus,Bacteria,5,0.021318,0.00501,0.036447297
D009765,species,47770,Lactobacillus crispatus,Bacteria,3,0.352133333,0.02414,0.584388077
D009765,species,51123,[Eubacterium] saphenum,Bacteria,5,0.004522,0.00379,0.001679604
D009765,species,52226,Mitsuokella multacida,Bacteria,62,0.341086129,0.101605,0.715187525
D009765,species,53345,Enterococcus durans,Bacteria,3,0.034346667,0.0242,0.0354174
D009765,species,53346,Enterococcus mundtii,Bacteria,1,0.00878,0.00878,
D009765,species,53443,Blautia hydrogenotrophica,Bacteria,27,0.043031852,0.01647,0.060220416
D009765,species,54005,Peptoniphilus harei,Bacteria,6,0.005888333,0.00434,0.005350848
D009765,species,54291,Raoultella ornithinolytica,Bacteria,5,0.008874,0.00393,0.012277171
D009765,species,55565,Actinomyces graevenitzii,Bacteria,31,0.007311935,0.00465,0.007615489
D009765,species,56774,[Eubacterium] infirmum,Bacteria,20,0.003752,0.002355,0.004123771
D009765,species,59310,Streptococcus macedonicus,Bacteria,7,0.0118,0.0021,0.02122108
